,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
0,anetv_jkn6uvmqwh4,3416,Members of the procession walk down the street holding small horn brass instruments. A drum line,Members of the procession walk down the street holding small horn brass instruments.,A drum line,gold,passes by walking down the street playing their instruments.,has heard approaching them.,arrives and they're outside dancing and asleep.,turns the lead singer watches the performance.,0
1,anetv_jkn6uvmqwh4,3417,A drum line passes by walking down the street playing their instruments. Members of the procession,A drum line passes by walking down the street playing their instruments.,Members of the procession,gen,are playing ping pong and celebrating one left each in quick.,wait slowly towards the cadets.,continues to play as well along the crowd along with the band being interviewed.,"continue to play marching, interspersed.",3
2,anetv_jkn6uvmqwh4,3415,A group of members in green uniforms walks waving flags. Members of the procession,A group of members in green uniforms walks waving flags.,Members of the procession,gold,pay the other coaches to cheer as people this chatter dips in lawn sheets.,walk down the street holding small horn brass instruments.,is seen in the background.,are talking a couple of people playing a game of tug of war.,1
3,anetv_jkn6uvmqwh4,3417,A drum line passes by walking down the street playing their instruments. Members of the procession,A drum line passes by walking down the street playing their instruments.,Members of the procession,gen,are playing ping pong and celebrating one left each in quick.,wait slowly towards the cadets.,makes a square call and ends by jumping down into snowy streets where fans begin to take their positions.,play and go back and forth hitting the drums while the audience claps for them.,3
4,anetv_Bri_myFFu4A,2408,The person plays a song on the violin. The man,The person plays a song on the violin.,The man,gold,finishes the song and lowers the instrument.,hits the saxophone and demonstrates how to properly use the racquet.,finishes massage the instrument again and continues.,continues dancing while the man gore the music outside while drums.,0
5,anetv_Bri_myFFu4A,2407,The person holds up the violin to his chin and gets ready. The person,The person holds up the violin to his chin and gets ready.,The person,gold,finishes playing then marches their tenderly.,"walks in frame and rubs on his hands, and then walks into a room.",continues playing guitar while moving from the camera.,plays a song on the violin.,3
6,anetv_Bri_myFFu4A,2405,A person retrieves an instrument from a closet. The man,A person retrieves an instrument from a closet.,The man,gold,examines the instrument in his hand.,stops playing the drums and waves over the other boys.,lights the cigarette and sticks his head in.,drags off the vacuum.,0
7,anetv_Bri_myFFu4A,2406,The man examines the instrument in his hand. The person,The man examines the instrument in his hand.,The person,gold,studies a picture of the man playing the violin.,holds up the violin to his chin and gets ready.,stops to speak to the camera again.,puts his arm around the man and backs away.,1
8,lsmdc1005_Signs-5092,6072,Someone walks over to the radio. Someone,Someone walks over to the radio.,Someone,gold,hands her another phone.,"takes the drink, then holds it.",looks off then looks at someone.,stares blearily down at the floor.,3
9,lsmdc1005_Signs-5092,6072,Someone walks over to the radio. Someone,Someone walks over to the radio.,Someone,gen,looks off then looks at someone.,hands her another phone.,"takes the drink, then holds it.",turns on a monitor.,3
